,word,frequency,example,misspelling,correction
9,caterpiilar,1,Caterpiilar Inc.,YES,caterpillar
10,caterprillar,1,Caterprillar Inc.,YES,caterpillar
11,capterpillar,1,Capterpillar Tractor Co.,YES,caterpillar
12,carterpillar,1,Carterpillar SARL,YES,caterpillar
0,datta,3,Dipti Datta,YES,data
1,dataq,1,"DATAQ Instruments, Inc.",YES,data
2,datak,2,The Datak Corporation,YES,data
3,datac,1,"Datac, Inc.",YES,data
4,data2,2,Data2 Incorporated,YES,data
5,danta,1,"Danta Design, Inc.",YES,data
6,daita,6,"Daita Frontier Fund, LLC",YES,data
7,dat,2,"DAT Agri-Products, Inc.",NO,data
8,daa,2,Dee Daa Licensing LLC,YES,data
9,durata,1,"Durata Operating, LLC",YES,data
10,ducata,1,Ducata Limited,YES,data
11,diatak,1,"Diatak, Inc.",YES,data
12,derata,3,Derata Corporation,YES,data
13,daytal,1,Daytal LLC,YES,data
14,datura,1,"DTI Security, a Division of Datura International, Inc.",NO,data
15,datria,4,"Datria Systems, Inc.",YES,data
16,datran,2,Datran Systems Corporation,YES,data
17,datica,1,"Datica, Inc.",YES,data
18,datera,2,"DATERA, INCORPORATED",YES,data
19,dataxu,1,"DataXu, Inc.",YES,data
20,datavi,1,"DATAVI, LLC",YES,data
21,datang,105,"Datang Mobile Communications Equipment Co., Ltd.",YES,data
22,dataiq,1,"DATAIQ, LLC",YES,data
23,dataco,1,DataCo GmbH,YES,data
24,data20,1,DATA20,YES,data
25,dakota,307,North Dakota State University Research Foundation,NO,data
26,dacota,1,Societe Dacota (S.A.),YES,data
27,dynatax,5,"DynaTax Solutions, Ltd",YES,data
28,domatar,1,Domatar Inc.,YES,data
29,dnastar,3,"DNASTAR, INC.",YES,data
30,diastam,1,Diastam Ltd,YES,data
31,denatal,1,Denatal Kagaku Kabushiki Kaisha,YES,data
32,daystar,19,"Daystar Products International, Inc.",NO,data
33,davstar,12,"Davstar Industries, Inc.",YES,data
34,datomar,1,DATOMAR SPOERRI-TREUHAND AG,YES,data
35,datical,1,"Datical, Inc.",YES,data
36,datchat,1,"DatChat, Inc.",YES,data
37,datcard,20,"Datcard Systems, Inc.",YES,data
38,dataxel,1,Dataxel Corporation,YES,data
39,dataweb,2,"ID DATAWEB, INC.",YES,data
40,datavan,10,DATAVAN INTERNATIONAL CORP.,YES,data
41,dataura,1,Dataura LLC,YES,data
42,dataton,1,DATATON AB,YES,data
43,datatec,2,Datatec Industries Inc.,YES,data
44,datasci,1,"Datasci, LLC",YES,data
45,datasat,1,Datasat Technologies AG,YES,data
46,datarpm,2,DataRPM Corporation,YES,data
47,dataray,1,"Dataray, Inc.",YES,data
48,dataram,13,"Dataram, Inc.",YES,data
49,datapop,2,"Datapop, Inc.",YES,data
50,datapod,1,Datapod (Australia) Pty Ltd,YES,data
51,datapic,1,"Datapic Systems, Inc.",YES,data
52,datapet,1,"Datapet, Inc.",YES,data
53,datapaq,2,Datapaq Limited,YES,data
54,datapac,1,Datapac S.r.l.,YES,data
55,datanet,5,Datanet Corp.,YES,data
56,datanab,1,"DataNab, LLC",YES,data
57,datamor,1,DATAMOR SPÖRRI-TREUHAND AG,UNK,data
58,datamax,134,Datamax-O'Neil Corporation,YES,data
59,datamat,6,ELSAG DATAMAT SPA,YES,data
60,datamas,1,DATAMAS-O'NEIL CORPORATION,YES,data
61,datalux,4,Datalux Corporation,YES,data
62,datalog,5,"Datalog, LLC",YES,data
63,datalex,2,Datalex (Ireland) Limited,YES,data
64,datalaw,1,"Datalaw, Inc.",YES,data
65,datalab,3,Datalab Oy,YES,data
66,datakey,21,"Datakey, Inc.",YES,data
67,datajet,2,"Datajet, Inc.",YES,data
68,datahug,2,Datahug Limited,YES,data
69,datafly,4,"Datafly Commerce, Inc.",YES,data
70,datafab,4,"DataFab System, Inc.",YES,data
71,datadot,2,DataDot Technology Limited,YES,data
72,datadog,1,"Datadog, Inc.",YES,data
73,datadna,1,"DATADNA, INC.",YES,data
74,datacor,1,"MD Datacor, Inc.",YES,data
75,datacon,3,"Datacon, Inc.",YES,data
76,datacom,70,News Datacom Limited,YES,data
77,datacap,1,"Datacap Systems, Inc.",YES,data
78,databit,2,AA Databit LLC,YES,data
79,databar,3,Databar Corporation,YES,data
80,dantani,2,"Dantani Co., Ltd.",YES,data
81,dantaet,1,Dantaet Electronics A/S,YES,data
82,danstar,5,DANSTAR FERMENT AG,YES,data
83,daktari,5,"Daktari Diagnostics, Inc.",YES,data
84,dacotah,1,"Dacotah Rose, Inc.",YES,data
85,dota,1,Oki Dota Corporation,YES,data
86,dita,1,Dita Products (Proprietary) Limited,NO,data
87,deta,2,Deta Corporation,YES,data
88,daya,22,"DAYA DRUG DISCOVERIES, INC.",YES,data
89,dawa,3,Dawa Boseki Kabushiki Kaisha,YES,data
90,dava,1,"DAVA Pharmaceuticals, Inc.",YES,data
91,datt,13,DATT LIFE SCIENCE PVT. LTD.,YES,data
92,datg,1,"Datg, Inc.",YES,data
93,date,11,"DESERT VALLEY DATE, INC.",NO,data
94,dasa,10,Nortel Dasa Network System GmbH & Co. KG,YES,data
95,dara,2,"DARA BIOSCIENCES, INC.",YES,data
96,dapa,1,Dapa Inc.,YES,data
97,dama,3,"Dama Jewelry Technology, Inc.",NO,data
98,daka,58,Daka Research Inc.,YES,data
99,daia,4,Daia Industry Co. Ltd.,YES,data
100,daga,1,Oki Daga Corporation,NO,data
101,dafa,2,Taiwan Falun Dafa Society,YES,data
102,dada,78,Dada Corp.,NO,data
103,daca,5,Daca International B.V.,YES,data
104,dta,6,"DTA, LLC",YES,data
0,displaya,1,Rose Displaya Ltd,YES,display
1,discplay,1,"Samsung Discplay Co., Ltd.",YES,display
2,dsplay,1,"SAMSUNG DSPLAY CO., LTD.",YES,display
3,dsiplay,2,"Samsung Dsiplay Co., Ltd.",YES,display
4,disply,1,"Beijing BOE Disply Technology Co., Ltd.",YES,display
5,displa,1,"SAMSUNG DISPLA CO., LTD.",YES,display
6,dispay,2,"LG Dispay Co., Ltd.",YES,display
7,dispaly,18,HannStar Dispaly Corp.,YES,display
8,dislay,9,Japan Dislay Inc.,YES,display
9,dipslay,2,"Samsung Dipslay Co., Ltd.",YES,display
10,diplay,5,"Panasonic Liquid Crystal Diplay Co., Ltd.",YES,display
11,displayer,1,"Smart Displayer Technology Co., Ltd.",NO,display
12,displayco,2,Displayco,YES,display
13,dispalys,5,TPO Dispalys Corp.,YES,display
14,dislplay,1,"BEIJING BOE DISLPLAY TECHNOLOGY CO., LTD",YES,display
15,dosplay,1,"Samsung Dosplay Co., Ltd.",YES,display
16,dlsplay,1,Japan Dlsplay Inc.,YES,display
17,displey,1,"Samsung Displey Co., Ltd.",YES,display
18,displax,6,Displax S.A.,YES,display
19,displau,2,"LG Displau Co., Ltd.",YES,display
20,dispiay,7,"Samsung Dispiay Co., Ltd.",YES,display
21,disilay,1,"SAMSUNG DISILAY CO., LTD.",YES,display
22,didplay,1,"LG Didplay Co., Ltd.",YES,display
23,diaplay,1,"Innovative Diaplay Products, LLC",YES,display
24,displaytek,5,Displaytek Corporation of Sanko,YES,display
25,displaymor,2,"Displaymor Manufacturing Company, Inc.",YES,display
26,displaycom,1,Displaycom GmbH,YES,display
27,displaybau,3,GESA FORM + FUNKTION DISPLAYBAU GMBH,YES,display
28,disa,57,George Fisher Disa A/S,YES,display
29,dipl,124,Ingenierburo fur Elektro-Mechanische Technologien Dipl-Ing Hartmut Euer,YES,display
0,toshiiba,2,Toshiiba Medical Systems Corporation,YES,toshiba
1,toshibia,3,Kabushiki Kaisha Toshibia,YES,toshiba
2,tokshiba,1,TOKSHIBA TEC KABUSHIKI KAISHA,YES,toshiba
3,tosihba,1,Kabushiki Kaisha Tosihba,YES,toshiba
4,tosiba,5,Kabushiki Kaisha Tosiba,YES,toshiba
5,toshia,4,Kabushiki Kaisha Toshia,YES,toshiba
6,toshbia,2,Toshbia Tec Kabushiki Kaisha,YES,toshiba
7,toshba,5,Kabushiki Kaisha Toshba,YES,toshiba
8,tosbhia,3,Kabushiki Kaisha Tosbhia,YES,toshiba
9,tohsiba,5,Kabushiki Kaisha Tohsiba,YES,toshiba
10,tohisba,1,Kabushiki Kaisha Tohisba,YES,toshiba
11,tohiba,4,Kabushiki Kaisha Tohiba,YES,toshiba
12,toshiaba,2,Kabushiki Kaisha Toshiaba,YES,toshiba
13,tohshiba,2,Kabushiki Kaisha Tohshiba,YES,toshiba
14,toshtba,1,TOSHTBA MITSUBISHI-ELECTRTIC INDUSTRIAL SYSTEMS CORPORATION,YES,toshiba
15,toshiva,1,Kabushiki Kaisha Toshiva,YES,toshiba
16,toshita,1,Toshita Kikai Kabushiki Kaisha,YES,toshiba
17,toshira,1,Kabushiki Kaisha Toshira,YES,toshiba
18,toshipa,1,Kabushiki Kaisha Toshipa,YES,toshiba
19,toshima,1,"Toshima MFG Co., Ltd",YES,toshiba
20,toshida,2,Toshida Kogyo K.K.,YES,toshiba
21,toshibo,1,Kabushiki Kaisha Toshibo,YES,toshiba
22,toshibe,1,TOSHIBE TEC KABUSHIKI KAISHA,YES,toshiba
23,toshi,12,G-C Toshi Kogyo Corporation,YES,toshiba
24,toahiba,2,Kabushiki Kaisha Toahiba,YES,toshiba
25,tishiba,2,Kabushiki Kaisha Tishiba,YES,toshiba
26,tashiba,1,Kabushiki Kaisha Tashiba,YES,toshiba
27,tomishiba,1,"Tomishiba Denki Co., Ltd.",YES,toshiba
28,toshipla,1,KABUSHIKI KAISHA TOSHIPLA,YES,toshiba
29,toshibec,1,Toshibec Tec Kabushiki Kaisha,YES,toshiba
30,toshiaki,2,Toshiaki Yamamoto,YES,toshiba
31,tobshiba,5,Kabushiki Kaisha Tobshiba,YES,toshiba
32,tosi,3,Franco Tosi S.p.A.,YES,toshiba
33,tosh,1,TOSH S.R.L.,NO,toshiba
0,bridgestrone,1,"Bridgestrone Americas Tire Operations, LLC",YES,bridgestone
1,bridgestones,1,Bridgestones Corporation,NO,bridgestone
2,brigestone,1,Brigestone Corporation,YES,bridgestone
3,brigdestone,2,Brigdestone Corporation,YES,bridgestone
4,bridgetone,2,"Bridgetone Sports Co., Ltd.",YES,bridgestone
5,bridgeston,6,"Bridgeston/Firetone, Inc.",YES,bridgestone
6,bridgesotne,1,"Bridgesotne Sports Co., Ltd.",YES,bridgestone
7,bridestone,5,"Bridestone Americas Tire Operations, LLC",YES,bridgestone
8,bridegstone,1,BRIDEGSTONE CORPORATION,YES,bridgestone
9,birdgestone,1,Birdgestone Corporation,YES,bridgestone
10,brodgestone,1,"Brodgestone Firestone North American Tire, LLC",YES,bridgestone
11,bridgeton,1,"Bridgeton Landfill, LLC",YES,bridgestone
12,bridgestome,1,"Bridgestome Sports Co., Ltd.",YES,bridgestone
13,bridgestion,1,Bridgestion Corporation,YES,bridgestone
14,bridgstone,4,"Bridgstone Sports Co., Ltd.",YES,bridgestone
15,bridgette,1,"Bridgette, Inc.",YES,bridgestone
0,alcattel,1,Alcattel Transmission Par F.H.,YES,alcatel
1,alctael,1,Alctael,YES,alcatel
2,alcatl,1,Alcatl-Lucent USA Inc.,YES,alcatel
3,alcate,1,Alcate Cit,YES,alcatel
4,alactel,1,Alactel Alsthom Compagnie Generale d'Electricite,YES,alcatel
5,acatel,4,Acatel-Lucent USA Inc.,YES,alcatel
6,alcaltel,6,ALCALTEL,YES,alcatel
7,alacatel,1,Alacatel-Lucent USA Inc.,YES,alcatel
8,altel,1,Altel Technology,YES,alcatel
9,aloatel,1,Aloatel Lucent,YES,alcatel
10,alcatei,1,Alcatei,YES,alcatel
11,alcated,3,Compagnie Industrielle des Telecommunications CIT-Alcated,YES,alcatel
12,alcatal,5,Alcatal Canada Inc.,YES,alcatel
13,alcat,2,"Alcat, Incorporated",YES,alcatel
14,alcante,1,D'ALCANTE B.V.,YES,alcatel
15,aicatel,1,Compagnie Industrielle des Telecommunications Cit-Aicatel,YES,alcatel
16,actel,484,Actel Corporation,YES,alcatel
17,alphatel,1,"Alphatel Spine, Inc.",YES,alcatel
18,alicante,4,Universidad de Alicante,YES,alcatel
19,alte,5,"ALTe Powertrain Technologies, Inc.",YES,alcatel
20,alce,4,"ALCE NORTH AMERICA, INC.",YES,alcatel
21,alca,1,"Alca Enterprises, Inc.",YES,alcatel
22,acat,2,ACAT Global,YES,alcatel
23,alcetel,1,Alcetel Lucent,YES,alcatel
0,huiawei,1,"Huiawei Technologies Co., Ltd.",YES,huawei
1,huaweio,1,"HUAWEIO TECHNOLOGIES CO., LTD.",YES,huawei
2,huaweie,1,"Huaweie Technologies Co., Ltd.",YES,huawei
3,huanwei,1,"SHENZHENSHI HUANWEI WOODS CO., LTD.",YES,huawei
4,huwei,10,"Huwei Technologies Co., Ltd.",YES,huawei
5,huwaei,2,"HUWAEI TECHNOLOGIES CO., LTD.",YES,huawei
6,huawi,1,"Huawi Technologies Co., Ltd.",YES,huawei
7,huaei,1,"Huaei Device (Dongguan) Co., Ltd.",YES,huawei
8,hauwei,18,"Hauwei Technologies Co., Ltd.",YES,huawei
9,huaewei,1,"Huaewei Technologies Co., Ltd.",YES,huawei
10,huiwei,1,HUIWEI CORPORATION,YES,huawei
11,huawel,3,"Huawel Technologies Co., Ltd.",YES,huawei
12,huawai,4,"Huawai Technologies Co., Ltd.",YES,huawei
13,huamei,4,Beijing Huamei Inc.,YES,huawei
14,hualei,5,"Ningbo Hualei Tool Co., Ltd.",YES,huawei
15,huahei,1,"HUAHEI TECHNOLOGIES CO., LTD.",YES,huawei
16,huabei,1,"JCC Huabei (Tianjin) Copper Co., Ltd.",YES,huawei
17,haiwei,1,"Nanjing Haiwei Machinery Co., Ltd.",YES,huawei
18,hwei,1,Hwei Jix Hardware Company Ltd.,YES,huawei
19,huwe,2,HUWE INC,YES,huawei
20,huei,27,"Huei Tyng Enterprise Co., Ltd.",YES,huawei
21,huai,3,"Huai Bao Co., Ltd.",YES,huawei
22,hawe,59,Hawe-Neos Dental Dr. H. v. Weissenfluh SA,YES,huawei
23,hueai,1,"HUE.AI, LLC",YES,huawei
24,hawie,6,The Hawie Mfg. Co.,YES,huawei
0,healthccare,1,"Childern's Healthccare of Atlanta, Inc.",YES,healthcare
1,helathcare,2,Infirst Helathcare Limited,YES,healthcare
2,heatlhcare,4,Siemens Heatlhcare GmbH,YES,healthcare
3,heathcare,12,Fisher & Paykel Heathcare Limited,YES,healthcare
4,healthcrae,1,"GLOBAL HEALTHCRAE EXCHANGE, LLC",YES,healthcare
5,healthcae,2,"OMRON HEALTHCAE Co., Ltd.",YES,healthcare
6,healthare,2,Siemens Healthare GmbH,YES,healthcare
7,healtchare,1,Siemens Healtchare GmbH,YES,healthcare
8,healtcare,16,GE Precision Healtcare LLC,YES,healthcare
9,healhcare,3,Siemens Healhcare Diagnostics Inc,YES,healthcare
10,halthcare,1,"CHILDREN'S HALTHCARE OF ATLANTA, INC.",YES,healthcare
11,healthware,4,"America Fuji Healthware, Inc.",YES,healthcare
12,healthkare,1,DTC-Healthkare Inc.,YES,healthcare
13,healthcore,1,"Healthcore, Inc.",YES,healthcare
14,healthcard,2,Siemens Healthcard GmbH,YES,healthcare
15,healthshare,1,"Healthshare Technology, Inc.",YES,healthcare
16,healthcarta,1,"Healthcarta, LLC",YES,healthcare
17,healthecare,1,Tyco Healthecare Gropu LP,YES,healthcare
18,healthe,1,Healthe Inc.,YES,healthcare
19,healthtrac,1,"HealthTRAC Systems, Inc.",YES,healthcare
20,hearthware,23,"Hearthware Home Products, Inc.",YES,healthcare
21,healthstar,8,"HealthStar, Inc.",YES,healthcare
22,healthscan,14,"Healthscan Products, Inc.",YES,healthcare
23,healthmate,23,"Healthmate International, Inc.",YES,healthcare
24,healthmark,5,"Healthmark Industries, Co.",YES,healthcare
25,healthcube,2,HealthCube GmbH,YES,healthcare
26,healthcoat,1,"Healthcoat Clearway Co., Ltd.",YES,healthcare
27,healthchex,1,"HealthChex, Inc.",YES,healthcare
28,healthagen,1,Healthagen International Limited,YES,healthcare
29,heatcore,1,HEATCORE AB,YES,healthcare
30,healthco,5,HealthCo LLC,YES,healthcare
31,healthier,13,Healthier Choices Management Corp.,YES,healthcare
0,cirba,11,Cirba IP Inc.,YES,ciba
1,chiba,177,Chiba City & Tsukishima Kikai Kabushiki Kaisha,YES,ciba
2,cib,5,C.I.B. UNIGAS S.P.A.,YES,ciba
3,cia,106,"Salgado & Cia., S.A.",NO,ciba
4,cba,10,"CBA Pharma, Inc.",YES,ciba
5,cribla,2,Societe Anonyme Cribla,YES,ciba
6,coriba,4,"Coriba Technologies, L.L.C.",YES,ciba
7,cisbay,5,Cisbay Global Inc.,YES,ciba
8,cimbal,1,Cimbal Inc.,YES,ciba
9,cibela,1,Cibela Patents C.C.,YES,ciba
10,cimbali,47,GRUPPO CIMBALI S.p.A.,YES,ciba
11,cvba,22,BIIP cvba,YES,ciba
12,cuba,6,CENTRO DE NEUROCIENCIAS DE CUBA,NO,ciba
13,ctba,3,CTBA Associates,YES,ciba
14,cita,2,Compagnie Industrielle des Telecommunications Cita-Alcatel,NO,ciba
15,cisa,14,Costruzioni Italiane Serrature Affini C.I.S.A. S.p.A.,YES,ciba
16,cira,1,"Cira Technologies, Inc.",YES,ciba
17,ciqa,2,Centro de Investigacion en Quimica Aplicada (CIQA),YES,ciba
18,cipa,10,Cipa Manufacturing Corporation,YES,ciba
19,cina,1,Francesco Cina Matacotta,YES,ciba
20,cima,107,Cima S.p.A. di Razzaboni & C.,YES,ciba
21,ciga,11,Ciga-Geigy Corporation,YES,ciba
22,cifa,25,CIFA S.P.A.,YES,ciba
23,ciea,2,CIEA International Inc.,YES,ciba
24,ciby,2,Ciby-Geigy Corporation,YES,ciba
25,cibt,12,CIBT AMERICA INC.,YES,ciba
26,cibo,4,Cibo N.V.,YES,ciba
27,cibe,2,Cibe Specialty Chemicals Corporation,YES,ciba
28,ceba,3,Cereal Base CEBA AB,YES,ciba
0,europex,1,"Europex Systems, Inc.",YES,europe
1,europes,1,Bellman & Symfon Europes AB,NO,europe
2,europeo,6,C.E.S.E.C. Centro Europeo Studi Economici e Chimici Srl,NO,europe
3,europen,1,Societe Anonyme dite: Centre Europen de Recherches Mauvernay (C.E.R.M.),YES,europe
4,europei,9,Piaggio Veicoli Europei S.p.A.,YES,europe
5,europea,37,"Cemusa Corporacion Europea De Mobiliaro Urbano, S.A.",NO,europe
6,euroipe,1,Euroipe GmbH,YES,europe
7,eurpoe,2,William Cook Eurpoe ApS,YES,europe
8,europ,7,C.D.B. Europ,YES,europe
9,eruope,1,Pechiney Emballage Flexible Eruope,YES,europe
10,eurotope,4,Eurotope Entwicklungsgesellschaft fÃƒÂ¼r Isotopentechnologien mbh,YES,europe
11,eurospec,2,Eurospec Manufacturing Inc.,YES,europe
12,européen,1,SAINT-GOBAIN CENTRE DE RECHERCHE ET D'ETUDES EUROPÉEN,UNK,europe
13,europlex,1,Europlex Research Limited,YES,europe
14,europipe,1,EUROPIPE GMBH,YES,europe
15,europese,1,Europese Economische Gemeenschap (E E G),YES,europe
16,europene,1,"Sediver, Societe Europene D/Isolateurs En Verre Et Composite",YES,europe
17,europeen,233,Saint-Gobain Centre de Recherches et d'Etudes Europeen,YES,europe
18,european,1045,"European Copper, LLC",NO,europe
19,europaea,1,BASF Societas Europaea,YES,europe
20,eurppe,1,Sony Eurppe B.V.,YES,europe
21,europw,1,Yazaki Europw Ltd.,YES,europe
22,europress,1,Europress S.a.s. di Giusti Lino & C.,YES,europe
23,europoles,1,EUROPOLES GMBH & CO. KG,YES,europe
24,europhane,5,Thorne Europhane S.A.,YES,europe
25,europenne,14,Societe Europenne De Propulsion,YES,europe
26,europeisk,2,Europeisk Produktutveckling AB,YES,europe
27,europeene,113,"Sediver, Societe Europeene",YES,europe
28,europeane,1,Europeane de Retraitement de Catalyseurs Eurecat,YES,europe
29,euro,617,Euro-Celtique S.A.,NO,europe
0,digitial,9,Digitial Equipment Corporation,YES,digital
1,digitatl,1,"Western Digitatl (Fremont), LLC",YES,digital
2,digitall,1,Digitall Inc,YES,digital
3,digitalk,1,"Konami Digitalk Entertainment Co., Ltd.",YES,digital
4,digitali,1,ADA Applicazioni Digitali E Analogiche S.r.l.,YES,digital
5,digital5,2,"Digital5, Inc.",YES,digital
6,digtial,3,Digtial Lumens Incorporated,YES,digital
7,digtal,2,Nomad Digtal Limited,YES,digital
8,digita,4,"Tabula Digita, Inc.",YES,digital
9,digial,3,"Western Digial Technologies, Inc.",YES,digital
10,digitalor,1,DIGITALOR SHENZHEN SECURITY TECH INC.,YES,digital
11,digitalml,1,digitalML Ltd,YES,digital
12,digitalco,1,"BEST DIGITAL.CO., LTD.",YES,digital
13,digitál,1,Digitál Imaging Systems GmbH,UNK,digital
14,digitel,1,"Digitel, Inc.",YES,digital
15,digit,20,Digit Societe a Responsibilite Limitee,NO,digital
16,digitalsis,1,Digitalsis Inc.,YES,digital
17,digitalcom,1,Learning Digital.com Inc.,YES,digital
18,ditial,1,"Walker Ditial, LLC",YES,digital
19,dingtalk,8,Dingtalk Holding (Cayman) Limited,YES,digital
20,digitrax,1,Digitrax Inc.,YES,digital
21,digitran,2,"Digitran Company, a Division of Xcel Corp.",YES,digital
22,digitool,1,Digitool Solutions LLC,YES,digital
23,digitfab,1,"Digitfab International Co., Ltd.",YES,digital
24,digitata,1,DIGITATA LIMITED,YES,digital
25,digitaqq,1,Digitaqq,YES,digital
26,digitais,1,ILX-Solucoes Digitais SA,YES,digital
27,digideal,39,DigiDeal Corporation,YES,digital
28,dita,1,Dita Products (Proprietary) Limited,NO,digital
29,digi,183,"Digi-Star, LLC",YES,digital
30,diga,3,diga - die gasheizung GmbH,YES,digital
0,westerni,1,"Westerni Digital (Fremont), LLC",YES,western
1,wetsern,1,"Wetsern Digital Technologies, Inc.",YES,western
2,wetern,1,Case Wetern Reserve University,YES,western
3,westren,1,"Westren Digital Technologies, Inc.",YES,western
4,wester,3,"Wester Strategic Products, LLC",NO,western
5,westen,3,"Westen Industries, Inc.",YES,western
6,westerton,1,WESTERTON (UK) LIMITED,YES,western
7,westerman,4,Roger Westerman Design LLC,YES,western
8,wettern,1,Gebr. von der Wettern GmbH,YES,western
9,westron,1,Westron of Canada Limited,YES,western
10,westran,21,Westran Holdings Limited,YES,western
11,westerm,1,"Westerm Publishing Co., Inc.",YES,western
12,westend,1,"Westend Asset Clearinghouse Company, LLC",YES,western
13,weser,19,Aktiengesellschaft Weser,YES,western
14,weitern,1,Gesellschaft zur Forderung der industrieorientierten Forschung an den Schweizerischen Hochschulen und weitern Institutionen,YES,western
15,webster,1237,"Biosense Webster, Inc.",NO,western
16,westerngeo,2,WESTERNGEO LLC,YES,western
17,westerneco,2,Westerneco L.L.C.,YES,western
18,westermann,42,Topholm & Westermann ApS,YES,western
19,westerlund,16,Westerlund Products Corporation,YES,western
20,westerland,1,Westerland Products Corporation,YES,western
21,westover,10,"Westover Scientific, Inc.",YES,western
22,westofen,2,Westofen GmbH,YES,western
23,westerlo,1,"Westerlo House, Inc.",YES,western
24,westerex,1,"Westerex International, division of Capitol Circuits",YES,western
25,westberg,2,"The Westberg Group, LLC",YES,western
26,weiteren,5,Gesellschaft zur Forderung der industrieorientierten Forschung an den Schweizerischen Hochschulen und weiteren Institutionen,YES,western
27,websters,1,"Biosense Websters, Inc.",NO,western
0,canyon,145,Surf Canyon Incorporated,NO,canon
1,canton,20,"Canton Textile Mills, Inc.",NO,canon
2,canron,66,Canron Corporation,YES,canon
3,canona,1,Canona Kabushiki Kaisha,YES,canon
4,canaon,1,Canaon Anelva Corporation,YES,canon
5,caanon,1,Caanon Kabushiki Kaisha,YES,canon
6,cano,1,"Cano International, N.V.",YES,canon
7,cann,4,"You cANN & Co., LLC",YES,canon
8,clanton,1,"Clanton Engineering, Inc.",YES,canon
9,chanton,1,"Chanton Trading Co., Ltd",YES,canon
10,chandon,20,Chandon Investment Planning Ltd.,YES,canon
11,canzone,2,Canzone Limited,NO,canon
12,canyson,1,Lassen Canyson Nursery,YES,canon
13,cantons,1,The University of Children's Hospital of Both Cantons of Basel,NO,canon
14,cantoni,3,Cotonificio Cantoni S.p.A.,YES,canon
15,cantion,1,Cantion A/S,YES,canon
16,canonie,3,"Canonie Environmental Services, Inc.",YES,canon
17,cagnoni,1,Meca S.a.s. di Cagnoni Landoni S.C.,YES,canon
18,conant,3,"Shanghai Conant Optics Co., Ltd.",YES,canon
19,conano,1,Conano Corporation,YES,canon
20,cannon,209,Cannon Equipment Company,NO,canon
21,cranston,18,"Cranston Machinery Co., Inc.",YES,canon
22,changwon,15,CHANGWON NATIONAL UNIVERSITY INDUSTRY ACADEMY COOPERATION CORPS,YES,canon
23,chanbond,2,CHANBOND LLC,YES,canon
24,castanon,1,Norberto Castanon & CIA. S.A.C. y F.,YES,canon
25,cantonal,6,Observatoire Cantonal de Neuchatel,NO,canon
26,cansonic,10,Cansonic Inc.,YES,canon
27,canopean,1,Canopean Pty Ltd,YES,canon
28,canocean,3,"CanOcean Resources, Ltd.",YES,canon
29,canobank,1,"Zhejiang Canobank Health Product Co., Ltd.",YES,canon
30,canitron,1,Canitron Systems Inc.,YES,canon
31,canglong,1,"DALIAN CANGLONG OPTOELECTRONICS TECHNOLOGIES CO., LTD",YES,canon
32,canconex,1,"Canconex, Inc.",YES,canon
33,campenon,6,Campenon-Bernard Cetra,YES,canon
34,cyano,2,Cyano Corporation,NO,canon
35,csnon,2,Csnon Kabushiki Kaisha,YES,canon
36,conon,1,Conon Kabushiki Kaisha,YES,canon
37,cno,3,"Korea CNO Tech Co., Ltd.",NO,canon
38,cnano,3,CNano Technology Limited,YES,canon
39,clann,1,CLANN S.R.L.,YES,canon
40,ciano,2,"Ciano Enterprises, Inc.",YES,canon
41,chaon,1,Duane Cyril Chaon,YES,canon
42,caton,1,Caton Corporation,YES,canon
43,caron,22,Caron Compactor Co.,YES,canon
44,cao,74,"CAO Group, Inc.",YES,canon
45,canoy,1,Canoy S.p.A.,YES,canon
46,canox,7,Canox International Ltd.,YES,canon
47,canoo,1,Canoo Inc.,YES,canon
48,canoe,27,"See Through Canoe, Inc.",NO,canon
49,canna,2,Canna-B Cure Ltd,NO,canon
50,canin,3,Royal Canin S.A.,YES,canon
51,cando,10,Cando Corporation,NO,canon
52,canco,4,CANCO HUNGARY INVESTMENT LTD.,YES,canon
53,canan,5,Canan Kabushiki Kaisha,YES,canon
54,can,1555,Save-Ty Can Cap B.V,NO,canon
55,calon,6,Calon Cardio Technology Limited,YES,canon
56,cajon,29,Cajon Company,NO,canon
57,cahon,1,"Cahon Systems, Inc.",YES,canon
58,caon,1,Caon Kabushiki Kaisha,YES,canon
0,lifie,1,Banner Lifie Sciences LLC,YES,life
1,liffe,10,LIFFE Administration and Management,YES,life
2,lifeq,6,LifeQ Global Limited,YES,life
3,lifen,1,"SHENZHEN LIFEN TECH CO., LTD",YES,life
4,lifel,2,Lifel di Torta Franco & C. s.a.s.,YES,life
5,lifei,1,"SHANGYU LIFEI PHOTOGRAPHIC EQUIPMENT CO., LTD.",YES,life
6,lifef,3,"Lifef/x Networks, Inc.",YES,life
7,lif,13,Lif J.K. Corporation,YES,life
8,lief,1,Lief Lindblad Entreprenend AB,NO,life
9,lie,4,"Perfect Lie Golf Ltd., L.C.",NO,life
10,lfe,15,LFE Corporation,YES,life
11,liftex,1,"Liftex Slings, Inc.",YES,life
12,lifter,5,"High Lifter Products, Inc.",NO,life
13,liften,1,Lohr Liften B.V.,YES,life
14,lifted,5,"LIFTED LIMITED, LLC",NO,life
15,liftec,1,Liftec Products OY,YES,life
16,lifeos,3,LifeOS Genomics Corporation,YES,life
17,lifeon,1,HEFEI LIFEON PHARMACEUTICAL CO. LTD.,YES,life
